file,title,description,album,start
dessert_night_2014013.jpg,Dessert Night,One of our weekly Dessert Nights,Dessert Night,22/1/2014 19:34:00 -0500
short_movies.jpg,Short Films at Fen,,,15/1/2014 20:00:00 -0500
tea_coffee.jpg,Coffee Tea Event in the Student Center,"Fenway decided to bring our coffee making skills to the Student Center and share coffee with students who were getting ready for their finals. During the event diverse students stopped by, drank coffee while sharing with us their stories.",Coffee Tea House Event,13/12/2013 19:00 -0500
parallel_universe.jpg,Parallel Universe Music Festival,In the beginning there was light...,Parallel Universe Music Festival,12/10/2013 21:00:00 -0500
